company_id,from_year,to_year,from_pattern,to_pattern
TATACONSUM,2013,2014,Cash Accumulator,Reinvestor
TATACONSUM,2015,2016,Reinvestor,Liquidating Assets
TATACONSUM,2017,2018,Liquidating Assets,Reinvestor
TATACONSUM,2018,2019,Reinvestor,Liquidating Assets
TATACONSUM,2019,2020,Liquidating Assets,Reinvestor
TATACONSUM,2020,2021,Reinvestor,Shareholder Returns
TATACONSUM,2023,2024,Shareholder Returns,Mixed
TATAMOTORS,2014,2015,Shareholder Returns,Mixed
TATAMOTORS,2015,2016,Mixed,Shareholder Returns
TATAMOTORS,2016,2017,Shareholder Returns,Mixed
TATAMOTORS,2021,2022,Mixed,Reinvestor
TATAMOTORS,2022,2023,Reinvestor,Shareholder Returns
TATAPOWER,2016,2017,Shareholder Returns,Mixed
TATAPOWER,2017,2018,Mixed,Shareholder Returns
TATAPOWER,2020,2021,Shareholder Returns,Liquidating Assets
TATAPOWER,2021,2022,Liquidating Assets,Shareholder Returns
TATAPOWER,2022,2023,Shareholder Returns,Mixed
TATAPOWER,2023,2024,Mixed,Shareholder Returns
TATASTEEL,2013,2014,Reinvestor,Mixed
TATASTEEL,2014,2015,Mixed,Reinvestor
TATASTEEL,2017,2018,Reinvestor,Mixed
TATASTEEL,2018,2019,Mixed,Reinvestor
TATASTEEL,2020,2021,Reinvestor,Shareholder Returns
TCS,2017,2018,Reinvestor,Liquidating Assets
TCS,2020,2021,Liquidating Assets,Shareholder Returns
TCS,2022,2023,Shareholder Returns,Liquidating Assets
TECHM,2013,2014,Mixed,Liquidating Assets
TECHM,2014,2015,Liquidating Assets,Reinvestor
TECHM,2018,2019,Reinvestor,Shareholder Returns
TECHM,2019,2020,Shareholder Returns,Liquidating Assets
TECHM,2020,2021,Liquidating Assets,Shareholder Returns
TECHM,2021,2022,Shareholder Returns,Liquidating Assets
TECHM,2022,2023,Liquidating Assets,Shareholder Returns
TITAN,2013,2014,Reinvestor,Growth Funded by Debt
TITAN,2014,2015,Growth Funded by Debt,Reinvestor
TITAN,2017,2018,Reinvestor,Other
TITAN,2018,2019,Other,Reinvestor
TITAN,2019,2020,Reinvestor,Other
TITAN,2020,2021,Other,Shareholder Returns
TITAN,2021,2022,Shareholder Returns,Other
TITAN,2022,2023,Other,Mixed
TITAN,2023,2024,Mixed,Reinvestor
TORNTPHARM,2015,2016,Mixed,Reinvestor
TORNTPHARM,2017,2018,Reinvestor,Mixed
TORNTPHARM,2018,2019,Mixed,Shareholder Returns
TORNTPHARM,2019,2020,Shareholder Returns,Liquidating Assets
TORNTPHARM,2020,2021,Liquidating Assets,Shareholder Returns
TORNTPHARM,2022,2023,Shareholder Returns,Mixed
TORNTPHARM,2023,2024,Mixed,Shareholder Returns
TRENT,2013,2014,Mixed,Pre-Revenue
TRENT,2014,2015,Pre-Revenue,Growth Funded by Debt
TRENT,2015,2016,Growth Funded by Debt,Reinvestor
TRENT,2017,2018,Reinvestor,Shareholder Returns
TRENT,2018,2019,Shareholder Returns,Mixed
TRENT,2020,2021,Mixed,Liquidating Assets
TRENT,2022,2023,Liquidating Assets,Shareholder Returns
TVSMOTOR,2014,2015,Shareholder Returns,Mixed
TVSMOTOR,2015,2016,Mixed,Shareholder Returns
TVSMOTOR,2017,2018,Shareholder Returns,Mixed
TVSMOTOR,2018,2019,Mixed,Growth Funded by Debt
TVSMOTOR,2019,2020,Growth Funded by Debt,Mixed
TVSMOTOR,2021,2022,Mixed,Growth Funded by Debt
