company_id,broad_sector,cluster_id,metric,metric_label,metric_value,sector_mean,sector_std,sector_count,z_score,abs_z_score,outlier_flag,handling
BHARTIARTL,Communication Services,1,asset_turnover,Asset Turnover,0.339311,0.204791,0.19024,2,,,False,insufficient_sector_observations
BHARTIARTL,Communication Services,1,revenue_cagr_5yr,Revenue CAGR 5Yr,13.174102,15.144856,2.787067,2,,,False,insufficient_sector_observations
BHARTIARTL,Communication Services,1,fcf_conversion_pct,FCF Conversion,35.519593,7.211273,40.03401,2,,,False,insufficient_sector_observations
BHARTIARTL,Communication Services,1,cfo_quality_score,CFO Quality Score,3.334067,0.936264,3.391005,2,,,False,insufficient_sector_observations
BHARTIARTL,Communication Services,1,capex_intensity_pct,Capex Intensity,34.063421,33.829818,0.330365,2,,,False,insufficient_sector_observations
BEL,Industrials,2,net_profit_margin_pct,Net Profit Margin,19.661535,13.38406,9.880643,10,0.635331,0.635331,False,computed
BEL,Industrials,2,operating_profit_margin_pct,Operating Profit Margin,24.921058,21.333371,15.56934,10,0.230433,0.230433,False,computed
BEL,Industrials,2,return_on_equity_pct,Return on Equity,4744.047619,874.176985,1808.577244,10,2.139732,2.139732,False,computed
BEL,Industrials,2,debt_to_equity,Debt to Equity,0.511905,0.583291,0.619304,10,-0.115269,0.115269,False,computed
BEL,Industrials,2,return_on_capital_employed_pct,ROCE,4504.724409,841.721338,1710.114178,10,2.141964,2.141964,False,computed
BEL,Industrials,2,asset_turnover,Asset Turnover,125.888199,20.647597,42.442182,10,2.479623,2.479623,False,computed
BEL,Industrials,2,revenue_cagr_5yr,Revenue CAGR 5Yr,10.750806,10.876325,6.638909,10,-0.018906,0.018906,False,computed
BEL,Industrials,2,fcf_conversion_pct,FCF Conversion,-25.044546,-30.851354,123.344214,10,0.047078,0.047078,False,computed
BEL,Industrials,2,cfo_quality_score,CFO Quality Score,1.43141,1.17796,1.470801,10,0.172321,0.172321,False,computed
BEL,Industrials,2,capex_intensity_pct,Capex Intensity,29.22834,13.741162,10.040116,10,1.54253,1.54253,False,computed
BHEL,Industrials,0,net_profit_margin_pct,Net Profit Margin,1.180262,13.38406,9.880643,10,-1.235122,1.235122,False,computed
BHEL,Industrials,0,operating_profit_margin_pct,Operating Profit Margin,2.975767,21.333371,15.56934,10,-1.179087,1.179087,False,computed
BHEL,Industrials,0,return_on_equity_pct,Return on Equity,1.153941,874.176985,1808.577244,10,-0.482713,0.482713,False,computed
BHEL,Industrials,0,debt_to_equity,Debt to Equity,0.362386,0.583291,0.619304,10,-0.356698,0.356698,False,computed
BHEL,Industrials,0,return_on_capital_employed_pct,ROCE,3.961675,841.721338,1710.114178,10,-0.489885,0.489885,False,computed
BHEL,Industrials,0,asset_turnover,Asset Turnover,0.399629,20.647597,42.442182,10,-0.477072,0.477072,False,computed
BHEL,Industrials,0,revenue_cagr_5yr,Revenue CAGR 5Yr,-4.728642,10.876325,6.638909,10,-2.350532,2.350532,False,computed
BHEL,Industrials,0,fcf_conversion_pct,FCF Conversion,-335.021097,-30.851354,123.344214,10,-2.466024,2.466024,False,computed
BHEL,Industrials,0,cfo_quality_score,CFO Quality Score,-2.210786,1.17796,1.470801,10,-2.304013,2.304013,False,computed
BHEL,Industrials,0,capex_intensity_pct,Capex Intensity,5.570669,13.741162,10.040116,10,-0.813785,0.813785,False,computed
BOSCHLTD,Consumer Discretionary,0,net_profit_margin_pct,Net Profit Margin,14.886112,11.500325,6.968452,14,0.485874,0.485874,False,computed
BOSCHLTD,Consumer Discretionary,0,operating_profit_margin_pct,Operating Profit Margin,12.524661,25.536186,24.661573,14,-0.527603,0.527603,False,computed
BOSCHLTD,Consumer Discretionary,0,return_on_equity_pct,Return on Equity,20.63992,86.724106,232.104483,14,-0.284717,0.284717,False,computed
BOSCHLTD,Consumer Discretionary,0,debt_to_equity,Debt to Equity,0.003233,0.698619,1.0975,14,-0.63361,0.63361,False,computed
BOSCHLTD,Consumer Discretionary,0,return_on_capital_employed_pct,ROCE,30.248699,441.11496,1497.893148,14,-0.274296,0.274296,False,computed
BOSCHLTD,Consumer Discretionary,0,asset_turnover,Asset Turnover,0.963814,5.157839,14.752203,14,-0.284298,0.284298,False,computed
BOSCHLTD,Consumer Discretionary,0,revenue_cagr_5yr,Revenue CAGR 5Yr,6.717165,13.604579,8.800016,14,-0.782659,0.782659,False,computed
BOSCHLTD,Consumer Discretionary,0,fcf_conversion_pct,FCF Conversion,73.317422,24.626797,37.425658,14,1.300996,1.300996,False,computed
BOSCHLTD,Consumer Discretionary,0,cfo_quality_score,CFO Quality Score,1.073234,0.178076,4.295602,14,0.208389,0.208389,False,computed
BOSCHLTD,Consumer Discretionary,0,capex_intensity_pct,Capex Intensity,1.691875,5.868292,5.264319,14,-0.793344,0.793344,False,computed
BPCL,Energy,0,net_profit_margin_pct,Net Profit Margin,5.994202,16.022672,12.981687,14,-0.772509,0.772509,False,computed
BPCL,Energy,0,operating_profit_margin_pct,Operating Profit Margin,9.837909,33.596854,24.659114,14,-0.963495,0.963495,False,computed
BPCL,Energy,0,return_on_equity_pct,Return on Equity,35.511337,17.933799,11.243965,14,1.563286,1.563286,False,computed
BPCL,Energy,0,debt_to_equity,Debt to Equity,0.721875,1.459648,1.634055,14,-0.451499,0.451499,False,computed
BPCL,Energy,0,return_on_capital_employed_pct,ROCE,36.176421,19.326477,8.626593,14,1.953256,1.953256,False,computed
BPCL,Energy,0,asset_turnover,Asset Turnover,2.213652,0.653519,0.612361,14,2.547731,2.547731,False,computed
BPCL,Energy,0,revenue_cagr_5yr,Revenue CAGR 5Yr,8.483226,12.446835,8.494439,14,-0.466612,0.466612,False,computed
BPCL,Energy,0,fcf_conversion_pct,FCF Conversion,57.653918,18.263863,65.003647,14,0.605967,0.605967,False,computed
BPCL,Energy,0,cfo_quality_score,CFO Quality Score,2.486511,2.010569,1.208837,14,0.393719,0.393719,False,computed
BPCL,Energy,0,capex_intensity_pct,Capex Intensity,2.348002,36.529155,59.038781,14,-0.578961,0.578961,False,computed
BRITANNIA,Consumer Staples,0,net_profit_margin_pct,Net Profit Margin,12.725863,13.336141,10.026286,7,-0.060868,0.060868,False,computed
BRITANNIA,Consumer Staples,0,operating_profit_margin_pct,Operating Profit Margin,18.88604,30.19953,21.505999,7,-0.526062,0.526062,False,computed
BRITANNIA,Consumer Staples,0,return_on_equity_pct,Return on Equity,54.148693,34.471273,40.973641,7,0.480246,0.480246,False,computed
BRITANNIA,Consumer Staples,0,debt_to_equity,Debt to Equity,0.523979,0.181566,0.176426,7,1.940823,1.940823,False,computed
